"ano,""id_aluno"",""id_escola"",""id_municipio"",""sigla_uf"",""serie"",""caderno"",""rede_codigo"",""rede"",""presenca"",""preenchimento_caderno"",""alfabetizado"",""proficiencia"",""peso_aluno"",""municipio_taxa_alfabetizacao"",""municipio_media_portugues"",""municipio_prop_nivel_0"",""municipio_prop_nivel_1"",""municipio_prop_nivel_2"",""municipio_prop_nivel_3"",""municipio_prop_nivel_4"",""municipio_prop_nivel_5"",""municipio_prop_nivel_6"",""municipio_prop_nivel_7"",""municipio_prop_nivel_8"",""uf_taxa_alfabetizacao"",""uf_media_portugues"",""uf_prop_nivel_0"",""uf_prop_nivel_1"",""uf_prop_nivel_2"",""uf_prop_nivel_3"",""uf_prop_nivel_4"",""uf_prop_nivel_5"",""uf_prop_nivel_6"",""uf_prop_nivel_7"",""uf_prop_nivel_8"",""meta_municipio_taxa_alfabetizacao"",""meta_municipio_nivel_alfabetizacao"",""meta_municipio_percentual_participacao"",""meta_municipio_2024"",""meta_municipio_2025"",""meta_municipio_2026"",""meta_municipio_2027"",""meta_municipio_2028"",""meta_municipio_2029"",""meta_municipio_2030"",""meta_uf_taxa_alfabetizacao"",""meta_uf_percentual_participacao"",""meta_uf_2024"",""meta_uf_2025"",""meta_uf_2026"",""meta_uf_2027"",""meta_uf_2028"",""meta_uf_2029"",""meta_uf_2030"",""meta_brasil_taxa_alfabetizacao"",""meta_brasil_percentual_participacao"",""meta_brasil_2024"",""meta_brasil_2025"",""meta_brasil_2026"",""meta_brasil_2027"",""meta_brasil_2028"",""meta_brasil_2029"",""meta_brasil_2030"""
"2024,""31032940"",""60020059"",""3170107"",""MG"",""2"",""10"",""3"",""MUNICIPAL"",""0"",""0"",""0"",,,""57.68"",""742.78"",""3.26"",""5.95"",""10.52"",""10.0"",""18.31"",""28.15"",""17.44"",""5.19"",""1.19"",""71.45"",""757.41"",""1.73"",""3.25"",""6.02"",""7.66"",""15.82"",""29.92"",""23.84"",""8.94"",""2.8"",""57.68"",""2"",""81.25"",""51.32"",""56.83"",""62.18"",""67.25"",""71.95"",""76.21"",""80.0"",""72.07"",""88.85"",""63.2"",""66.4"",""69.5"",""72.4"",""75.1"",""77.6"",""80.0"",""59.2"",""87.37"",""59.9"",""63.77"",""67.47"",""70.97"",""74.23"",""77.24"",""80.0"""
"2024,""35398849"",""60026698"",""3550308"",""SP"",""2"",""10"",""2"",""ESTADUAL"",""0"",""0"",""0"",,,""62.67"",""755.5835"",""2.49"",""3.98"",""7.18"",""11.88"",""16.78"",""20.02"",""18.17"",""13.1"",""6.39"",""65.84"",""759.5751"",""2.07"",""3.37"",""6.48"",""11.11"",""16.05"",""19.8"",""19.24"",""14.53"",""7.37"",,,,,,,,,,,""58.13"",""89.12"",""56.6"",""61.1"",""65.4"",""69.5"",""73.3"",""76.8"",""80.0"",""59.2"",""87.37"",""59.9"",""63.77"",""67.47"",""70.97"",""74.23"",""77.24"",""80.0"""
"2023,""15017733"",""60001832"",""1501402"",""PA"",""2"",""10"",""2"",""ESTADUAL"",""0"",""0"",""0"",,,""57.85"",""741.6816"",,,,,,,,,,""57.07"",""741.3548"",,,,,,,,,,,,,,,,,,,,""48.4"",""80.55"",""53.6"",""58.7"",""63.6"",""68.2"",""72.5"",""76.5"",""80.0"",""55.9"",""86.0"",""59.9"",""63.77"",""67.47"",""70.97"",""74.23"",""77.24"",""80.0"""
"2023,""21008078"",""60004291"",""2111300"",""MA"",""2"",""10"",""3"",""MUNICIPAL"",""0"",""0"",""0"",,,""47.49"",""736.9393"",,,,,,,,,,""56.39"",""749.8729"",,,,,,,,,,""47.5"",""1"",""82.48"",""52.79"",""58.04"",""63.1"",""67.9"",""72.34"",""76.38"",""80.0"",""56.43"",""89.11"",""60.3"",""64.1"",""67.7"",""71.2"",""74.3"",""77.3"",""80.0"",""55.9"",""86.0"",""59.9"",""63.77"",""67.47"",""70.97"",""74.23"",""77.24"",""80.0"""
"2024,""22030056"",""60006463"",""2205581"",""PI"",""2"",""10"",""3"",""MUNICIPAL"",""0"",""0"",""0"",,,""44.87"",""734.11"",""3.85"",""9.37"",""12.48"",""20.36"",""12.67"",""18.13"",""17.89"",""3.36"",""1.89"",""59.76"",""754.77"",""1.77"",""3.97"",""7.4"",""13.8"",""18.49"",""19.11"",""16.84"",""11.69"",""6.93"",""44.87"",""1"",""84.62"",""11.95"",""19.26"",""29.54"",""42.43"",""56.43"",""69.47"",""80.0"",""59.82"",""95.09"",""57.0"",""61.5"",""65.7"",""69.7"",""73.5"",""76.9"",""80.0"",""59.2"",""87.37"",""59.9"",""63.77"",""67.47"",""70.97"",""74.23"",""77.24"",""80.0"""
"2024,""42088374"",""60035862"",""4219309"",""SC"",""2"",""10"",""3"",""MUNICIPAL"",""0"",""0"",""0"",,,""64.11"",""749.97"",""2.9"",""4.6"",""3.88"",""10.02"",""21.63"",""30.39"",""17.88"",""6.89"",""1.81"",""62.87"",""751.14"",""3.31"",""4.15"",""2.81"",""11.2"",""22.61"",""27.14"",""18.72"",""7.53"",""2.53"",""64.11"",""3"",""80.23"",""61.06"",""64.7"",""68.18"",""71.46"",""74.54"",""77.39"",""80.0"",""62.02"",""70.05"",""64.5"",""67.4"",""70.2"",""72.9"",""75.4"",""77.8"",""80.0"",""59.2"",""87.37"",""59.9"",""63.77"",""67.47"",""70.97"",""74.23"",""77.24"",""80.0"""
"2024,""51009444"",""60040573"",""5106224"",""MT"",""2"",""10"",""3"",""MUNICIPAL"",""0"",""0"",""0"",,,""74.86"",""768.98"",""0.56"",""2.57"",""4.41"",""9.61"",""12.28"",""21.46"",""24.87"",""16.27"",""7.96"",""61.03"",""753.8"",""1.89"",""4.17"",""8.15"",""13.77"",""15.89"",""19.37"",""20.7"",""10.98"",""5.08"",""74.86"",""4"",""90.47"",""66.79"",""69.28"",""71.66"",""73.93"",""76.08"",""78.1"",""80.0"",""60.59"",""88.46"",""59.2"",""63.2"",""67.0"",""70.7"",""74.0"",""77.2"",""80.0"",""59.2"",""87.37"",""59.9"",""63.77"",""67.47"",""70.97"",""74.23"",""77.24"",""80.0"""
"2023,""27024351"",""60013979"",""2704302"",""AL"",""2"",""10"",""3"",""MUNICIPAL"",""0"",""0"",""0"",,,""39.23"",""723.3367"",,,,,,,,,,""44.13"",""729.9581"",,,,,,,,,,""39.2"",""0"",""84.26"",""45.58"",""52.09"",""58.52"",""64.67"",""70.37"",""75.51"",""80.0"",""43.88"",""92.36"",""49.7"",""55.5"",""61.1"",""66.5"",""71.5"",""76.0"",""80.0"",""55.9"",""86.0"",""59.9"",""63.77"",""67.47"",""70.97"",""74.23"",""77.24"",""80.0"""
"2023,""29074576"",""60015563"",""2910800"",""BA"",""2"",""10"",""3"",""MUNICIPAL"",""0"",""0"",""0"",,,""31.96"",""723.2547"",,,,,,,,,,""36.77"",""724.8489"",,,,,,,,,,""32.0"",""0"",""72.75"",""38.95"",""46.42"",""54.05"",""61.5"",""68.45"",""74.66"",""80.0"",""36.8"",""84.53"",""43.4"",""50.2"",""57.1"",""63.6"",""69.8"",""75.2"",""80.0"",""55.9"",""86.0"",""59.9"",""63.77"",""67.47"",""70.97"",""74.23"",""77.24"",""80.0"""
"2023,""33086820"",""60025244"",""3304557"",""RJ"",""2"",""10"",""3"",""MUNICIPAL"",""0"",""0"",""0"",,,""56.19"",""741.2373"",,,,,,,,,,""52.13"",""737.3032"",,,,,,,,,,""56.2"",""2"",""82.26"",""60.14"",""63.97"",""67.62"",""71.07"",""74.29"",""77.27"",""80.0"",""52.13"",""81.21"",""56.7"",""61.2"",""65.5"",""69.6"",""73.4"",""76.9"",""80.0"",""55.9"",""86.0"",""59.9"",""63.77"",""67.47"",""70.97"",""74.23"",""77.24"",""80.0"""
"2023,""41101906"",""60034214"",""4118204"",""PR"",""2"",""10"",""3"",""MUNICIPAL"",""0"",""0"",""0"",,,""61.91"",""748.1479"",,,,,,,,,,""73.11"",""757.1952"",,,,,,,,,,""61.9"",""3"",""80.7"",""64.89"",""67.77"",""70.51"",""73.11"",""75.57"",""77.86"",""80.0"",""73.12"",""86.18"",""74.2"",""75.2"",""76.2"",""77.2"",""78.2"",""79.1"",""80.0"",""55.9"",""86.0"",""59.9"",""63.77"",""67.47"",""70.97"",""74.23"",""77.24"",""80.0"""
"2023,""42018824"",""60035740"",""4203204"",""SC"",""2"",""10"",""3"",""MUNICIPAL"",""0"",""0"",""0"",,,""50.54"",""737.6989"",,,,,,,,,,""62.04"",""747.7686"",,,,,,,,,,,,,,,,,,,,""61.38"",""78.6"",""64.5"",""67.4"",""70.2"",""72.9"",""75.4"",""77.8"",""80.0"",""55.9"",""86.0"",""59.9"",""63.77"",""67.47"",""70.97"",""74.23"",""77.24"",""80.0"""
"2023,""42085320"",""60036701"",""4216602"",""SC"",""2"",""10"",""3"",""MUNICIPAL"",""0"",""0"",""0"",,,""65.4"",""750.2722"",,,,,,,,,,""62.04"",""747.7686"",,,,,,,,,,,,,,,,,,,,""61.38"",""78.6"",""64.5"",""67.4"",""70.2"",""72.9"",""75.4"",""77.8"",""80.0"",""55.9"",""86.0"",""59.9"",""63.77"",""67.47"",""70.97"",""74.23"",""77.24"",""80.0"""
"2024,""31051092"",""60020797"",""3106200"",""MG"",""2"",""10"",""3"",""MUNICIPAL"",""0"",""0"",""0"",,,""68.58"",""754.17"",""1.76"",""3.32"",""6.7"",""8.57"",""17.39"",""30.26"",""22.65"",""7.52"",""1.83"",""71.45"",""757.41"",""1.73"",""3.25"",""6.02"",""7.66"",""15.82"",""29.92"",""23.84"",""8.94"",""2.8"",""68.58"",""3"",""83.08"",""61.33"",""64.91"",""68.34"",""71.58"",""74.61"",""77.42"",""80.0"",""72.07"",""88.85"",""63.2"",""66.4"",""69.5"",""72.4"",""75.1"",""77.6"",""80.0"",""59.2"",""87.37"",""59.9"",""63.77"",""67.47"",""70.97"",""74.23"",""77.24"",""80.0"""
"2024,""35043497"",""60027538"",""3509502"",""SP"",""2"",""10"",""3"",""MUNICIPAL"",""0"",""0"",""0"",,,""41.49"",""730.3551"",""5.62"",""8.98"",""12.36"",""17.28"",""19.47"",""16.98"",""11.44"",""6.23"",""1.63"",""55.71"",""746.8603"",""3.38"",""5.43"",""9.26"",""13.79"",""17.75"",""19.5"",""16.03"",""10.61"",""4.26"",""41.49"",""1"",""86.85"",""47.76"",""53.9"",""59.93"",""65.66"",""70.98"",""75.77"",""80.0"",""58.13"",""89.12"",""56.6"",""61.1"",""65.4"",""69.5"",""73.3"",""76.8"",""80.0"",""59.2"",""87.37"",""59.9"",""63.77"",""67.47"",""70.97"",""74.23"",""77.24"",""80.0"""
"2024,""35414711"",""60027290"",""3550308"",""SP"",""2"",""10"",""3"",""MUNICIPAL"",""0"",""0"",""0"",,,""48.25"",""739.0238"",""3.94"",""6.0"",""11.02"",""16.82"",""19.43"",""18.75"",""13.59"",""7.8"",""2.65"",""55.71"",""746.8603"",""3.38"",""5.43"",""9.26"",""13.79"",""17.75"",""19.5"",""16.03"",""10.61"",""4.26"",""48.25"",""1"",""85.03"",""44.37"",""51.06"",""57.72"",""64.11"",""70.03"",""75.35"",""80.0"",""58.13"",""89.12"",""56.6"",""61.1"",""65.4"",""69.5"",""73.3"",""76.8"",""80.0"",""59.2"",""87.37"",""59.9"",""63.77"",""67.47"",""70.97"",""74.23"",""77.24"",""80.0"""
"2024,""42003539"",""60035281"",""4202008"",""SC"",""2"",""10"",""3"",""MUNICIPAL"",""0"",""0"",""0"",,,,,,,,,,,,,,""62.87"",""751.14"",""3.31"",""4.15"",""2.81"",""11.2"",""22.61"",""27.14"",""18.72"",""7.53"",""2.53"",,,,,,,,,,,""62.02"",""70.05"",""64.5"",""67.4"",""70.2"",""72.9"",""75.4"",""77.8"",""80.0"",""59.2"",""87.37"",""59.9"",""63.77"",""67.47"",""70.97"",""74.23"",""77.24"",""80.0"""
"2024,""43076986"",""60038357"",""4316907"",""RS"",""2"",""10"",""3"",""MUNICIPAL"",""0"",""0"",""0"",,,""39.7"",""728.7593"",""4.46"",""9.05"",""15.16"",""16.24"",""21.14"",""17.1"",""11.85"",""3.02"",""1.98"",""44.23"",""733.9263"",""3.96"",""7.26"",""13.14"",""16.99"",""20.15"",""18.76"",""12.93"",""4.97"",""1.84"",""39.7"",""0"",""77.89"",""67.72"",""70.02"",""72.23"",""74.34"",""76.33"",""78.22"",""80.0"",""44.67"",""82.86"",""66.2"",""68.8"",""71.3"",""73.7"",""75.9"",""78.0"",""80.0"",""59.2"",""87.37"",""59.9"",""63.77"",""67.47"",""70.97"",""74.23"",""77.24"",""80.0"""
"2023,""16006652"",""60003674"",""1600303"",""AP"",""2"",""10"",""3"",""MUNICIPAL"",""0"",""0"",""0"",,,""43.33"",""734.2328"",,,,,,,,,,""41.87"",""732.7858"",,,,,,,,,,""43.3"",""1"",""90.43"",""49.2"",""55.09"",""60.84"",""66.31"",""71.37"",""75.95"",""80.0"",""41.56"",""89.68"",""47.6"",""53.8"",""59.9"",""65.6"",""70.9"",""75.8"",""80.0"",""55.9"",""86.0"",""59.9"",""63.77"",""67.47"",""70.97"",""74.23"",""77.24"",""80.0"""
"2023,""21068817"",""60006011"",""2112506"",""MA"",""2"",""10"",""3"",""MUNICIPAL"",""0"",""0"",""0"",,,""37.64"",""726.9909"",,,,,,,,,,""56.39"",""749.8729"",,,,,,,,,,""37.6"",""0"",""92.33"",""44.16"",""50.89"",""57.58"",""64.01"",""69.97"",""75.33"",""80.0"",""56.43"",""89.11"",""60.3"",""64.1"",""67.7"",""71.2"",""74.3"",""77.3"",""80.0"",""55.9"",""86.0"",""59.9"",""63.77"",""67.47"",""70.97"",""74.23"",""77.24"",""80.0"""
"2023,""29124323"",""60018260"",""2930709"",""BA"",""2"",""10"",""3"",""MUNICIPAL"",""0"",""0"",""0"",,,""42.62"",""731.1524"",,,,,,,,,,""36.77"",""724.8489"",,,,,,,,,,""42.6"",""1"",""85.05"",""48.58"",""54.58"",""60.45"",""66.03"",""71.2"",""75.87"",""80.0"",""36.8"",""84.53"",""43.4"",""50.2"",""57.1"",""63.6"",""69.8"",""75.2"",""80.0"",""55.9"",""86.0"",""59.9"",""63.77"",""67.47"",""70.97"",""74.23"",""77.24"",""80.0"""
"2024,""26048286"",""60012454"",""2611606"",""PE"",""2"",""10"",""3"",""MUNICIPAL"",""1"",""0"",""0"",,,""54.36"",""740.73"",""3.09"",""5.06"",""10.15"",""15.59"",""17.93"",""25.7"",""16.79"",""4.82"",""0.88"",""60.76"",""747.28"",""2.54"",""4.02"",""7.56"",""13.33"",""17.18"",""28.23"",""20.44"",""5.34"",""1.37"",""54.36"",""2"",""92.73"",""65.29"",""68.08"",""70.75"",""73.28"",""75.67"",""77.91"",""80.0"",""60.79"",""94.75"",""62.4"",""65.8"",""69.0"",""72.1"",""74.9"",""77.6"",""80.0"",""59.2"",""87.37"",""59.9"",""63.77"",""67.47"",""70.97"",""74.23"",""77.24"",""80.0"""
"2024,""33002799"",""60025646"",""3300209"",""RJ"",""2"",""10"",""3"",""MUNICIPAL"",""0"",""0"",""0"",,,""55.89"",""740.68"",""3.5"",""6.78"",""7.95"",""6.15"",""27.92"",""29.03"",""14.85"",""3.34"",""0.48"",""55.22"",""738.87"",""3.56"",""7.38"",""10.62"",""6.02"",""25.61"",""28.47"",""14.43"",""3.2"",""0.71"",""55.89"",""2"",""78.08"",""55.66"",""60.36"",""64.88"",""69.15"",""73.11"",""76.73"",""80.0"",""55.25"",""83.12"",""56.7"",""61.2"",""65.5"",""69.6"",""73.4"",""76.9"",""80.0"",""59.2"",""87.37"",""59.9"",""63.77"",""67.47"",""70.97"",""74.23"",""77.24"",""80.0"""
"2024,""42010586"",""60034702"",""4202404"",""SC"",""2"",""10"",""3"",""MUNICIPAL"",""0"",""0"",""0"",,,""64.77"",""753.96"",""2.69"",""4.21"",""2.37"",""10.24"",""22.23"",""26.4"",""19.28"",""9.8"",""2.77"",""62.87"",""751.14"",""3.31"",""4.15"",""2.81"",""11.2"",""22.61"",""27.14"",""18.72"",""7.53"",""2.53"",""64.77"",""3"",""76.68"",""66.53"",""69.08"",""71.51"",""73.82"",""76.01"",""78.07"",""80.0"",""62.02"",""70.05"",""64.5"",""67.4"",""70.2"",""72.9"",""75.4"",""77.8"",""80.0"",""59.2"",""87.37"",""59.9"",""63.77"",""67.47"",""70.97"",""74.23"",""77.24"",""80.0"""
"2023,""15027159"",""60002934"",""1501402"",""PA"",""2"",""10"",""3"",""MUNICIPAL"",""0"",""0"",""0"",,,""48.22"",""730.4555"",,,,,,,,,,""47.71"",""732.6697"",,,,,,,,,,""48.2"",""1"",""74.16"",""53.42"",""58.55"",""63.49"",""68.17"",""72.51"",""76.46"",""80.0"",""48.4"",""80.55"",""53.6"",""58.7"",""63.6"",""68.2"",""72.5"",""76.5"",""80.0"",""55.9"",""86.0"",""59.9"",""63.77"",""67.47"",""70.97"",""74.23"",""77.24"",""80.0"""
